Amenity;Localidad;Objectid;lat;lon
restaurant;'Localidad Fontibón';9;4.6808902;-74.1344309
restaurant;'Localidad Fontibón';9;4.6686867;-74.1194019
restaurant;'Localidad Fontibón';9;4.6629231;-74.1272232
restaurant;'Localidad Fontibón';9;4.6647533;-74.1276193
restaurant;'Localidad Fontibón';9;4.6591725;-74.1082137
restaurant;'Localidad Fontibón';9;4.6757123;-74.146176
restaurant;'Localidad Fontibón';9;4.6776303;-74.1542785
restaurant;'Localidad Fontibón';9;4.6765065;-74.1467985
restaurant;'Localidad Fontibón';9;4.6680782;-74.1176695
restaurant;'Localidad Fontibón';9;4.6685327;-74.1169448
restaurant;'Localidad Fontibón';9;4.6675825;-74.1184235
restaurant;'Localidad Fontibón';9;4.6686582;-74.1170232
restaurant;'Localidad Fontibón';9;4.6638573;-74.1176054
restaurant;'Localidad Fontibón';9;4.6979362;-74.1423444
restaurant;'Localidad Fontibón';9;4.6806117;-74.1688152
restaurant;'Localidad Fontibón';9;4.6740738;-74.1474331
restaurant;'Localidad Fontibón';9;4.6739522;-74.1474243
restaurant;'Localidad Fontibón';9;4.6544749;-74.1096073
restaurant;'Localidad Fontibón';9;4.6539268;-74.109321
restaurant;'Localidad Fontibón';9;4.6538554;-74.1100311
restaurant;'Localidad Fontibón';9;4.6542503;-74.1094899
restaurant;'Localidad Fontibón';9;4.6713736;-74.1446028
restaurant;'Localidad Fontibón';9;4.6682137;-74.119419
restaurant;'Localidad Fontibón';9;4.6752847;-74.1414694
restaurant;'Localidad Fontibón';9;4.6682468;-74.1195514
restaurant;'Localidad Fontibón';9;4.666664;-74.1187077
restaurant;'Localidad Fontibón';9;4.656073;-74.1063296
restaurant;'Localidad Fontibón';9;4.6554021;-74.106228
restaurant;'Localidad Fontibón';9;4.6563708;-74.1067933
restaurant;'Localidad Fontibón';9;4.6555645;-74.1062988
restaurant;'Localidad Fontibón';9;4.66002;-74.1086288
restaurant;'Localidad Fontibón';9;4.666568;-74.1255826
restaurant;'Localidad Fontibón';9;4.6527971;-74.1150851
restaurant;'Localidad Fontibón';9;4.6964829;-74.1537175
restaurant;'Localidad Fontibón';9;4.6940445;-74.1689996
restaurant;'Localidad Fontibón';9;4.6935266;-74.1608451
restaurant;'Localidad Fontibón';9;4.6940462;-74.1601331
restaurant;'Localidad Fontibón';9;4.6956371;-74.1579639
restaurant;'Localidad Fontibón';9;4.6616688;-74.1096879
restaurant;'Localidad Fontibón';9;4.6590835;-74.1083153
restaurant;'Localidad Fontibón';9;4.667336;-74.1182534
restaurant;'Localidad Fontibón';9;4.665316;-74.1189178
restaurant;'Localidad Fontibón';9;4.6672245;-74.118389
restaurant;'Localidad Fontibón';9;4.6672394;-74.1184583
restaurant;'Localidad Fontibón';9;4.6746833;-74.1223887
restaurant;'Localidad Fontibón';9;4.675622;-74.1215713
restaurant;'Localidad Fontibón';9;4.6749939;-74.1205256
restaurant;'Localidad Fontibón';9;4.6749496;-74.120611
restaurant;'Localidad Fontibón';9;4.6749235;-74.1206445
restaurant;'Localidad Fontibón';9;4.6729515;-74.1214901
restaurant;'Localidad Fontibón';9;4.6585703;-74.1082215
restaurant;'Localidad Fontibón';9;4.6742217;-74.1215248
restaurant;'Localidad Fontibón';9;4.6637918;-74.1180454
restaurant;'Localidad Fontibón';9;4.6636897;-74.1179511
restaurant;'Localidad Fontibón';9;4.6634622;-74.1226076
restaurant;'Localidad Fontibón';9;4.6635241;-74.1225212
restaurant;'Localidad Fontibón';9;4.6636884;-74.1223388
restaurant;'Localidad Fontibón';9;4.6667114;-74.119308
restaurant;'Localidad Fontibón';9;4.6682213;-74.1215146
restaurant;'Localidad Fontibón';9;4.6688454;-74.1232848
restaurant;'Localidad Fontibón';9;4.6686269;-74.1235294
restaurant;'Localidad Fontibón';9;4.6641102;-74.1222247
restaurant;'Localidad Fontibón';9;4.664452;-74.1217951
restaurant;'Localidad Fontibón';9;4.6649034;-74.1213867
restaurant;'Localidad Fontibón';9;4.6643555;-74.1283265
restaurant;'Localidad Fontibón';9;4.6643247;-74.1283594
restaurant;'Localidad Fontibón';9;4.6638204;-74.1225244
restaurant;'Localidad Fontibón';9;4.6655414;-74.1206379
restaurant;'Localidad Fontibón';9;4.6427048;-74.1132913
restaurant;'Localidad Fontibón';9;4.6408743;-74.1212442
restaurant;'Localidad Fontibón';9;4.6434241;-74.1124416
restaurant;'Localidad Fontibón';9;4.6530779;-74.1112468
restaurant;'Localidad Fontibón';9;4.6686764;-74.1232689
restaurant;'Localidad Fontibón';9;4.6431248;-74.1224061
restaurant;'Localidad Fontibón';9;4.6656836;-74.1265925
restaurant;'Localidad Fontibón';9;4.6806198;-74.1491676
restaurant;'Localidad Fontibón';9;4.6733408;-74.1437848
restaurant;'Localidad Fontibón';9;4.6680851;-74.1424582
restaurant;'Localidad Fontibón';9;4.667515;-74.1410224
restaurant;'Localidad Fontibón';9;4.666354;-74.1203142
restaurant;'Localidad Fontibón';9;4.6654422;-74.1408148
restaurant;'Localidad Fontibón';9;4.6683708;-74.1420335
restaurant;'Localidad Fontibón';9;4.6685139;-74.1418411
restaurant;'Localidad Fontibón';9;4.6716825;-74.1449554
restaurant;'Localidad Fontibón';9;4.6804911;-74.1689886
restaurant;'Localidad Fontibón';9;4.6730956;-74.139145
restaurant;'Localidad Fontibón';9;4.6738566;-74.1434205
restaurant;'Localidad Fontibón';9;4.6858637;-74.1296871
restaurant;'Localidad Fontibón';9;4.6878485;-74.1566904
restaurant;'Localidad Fontibón';9;4.6705603;-74.138436
restaurant;'Localidad Fontibón';9;4.6866324;-74.156145
restaurant;'Localidad Fontibón';9;4.6866692;-74.1560946
restaurant;'Localidad Fontibón';9;4.6521567;-74.1256668
restaurant;'Localidad Fontibón';9;4.6509706;-74.1064256
restaurant;'Localidad Fontibón';9;4.6806117;-74.1688152
restaurant;'Localidad Fontibón';9;4.6804911;-74.1689886
restaurant;'Localidad Fontibón';9;4.6680851;-74.1424582
restaurant;'Localidad Fontibón';9;4.667515;-74.1410224
restaurant;'Localidad Fontibón';9;4.6683708;-74.1420335
restaurant;'Localidad Fontibón';9;4.6685139;-74.1418411
restaurant;'Localidad Fontibón';9;4.6654422;-74.1408148
restaurant;'Localidad Fontibón';9;4.6740738;-74.1474331
restaurant;'Localidad Fontibón';9;4.6776303;-74.1542785
restaurant;'Localidad Fontibón';9;4.6806198;-74.1491676
restaurant;'Localidad Fontibón';9;4.6757123;-74.146176
restaurant;'Localidad Fontibón';9;4.6739522;-74.1474243
restaurant;'Localidad Fontibón';9;4.6713736;-74.1446028
restaurant;'Localidad Fontibón';9;4.6752847;-74.1414694
restaurant;'Localidad Fontibón';9;4.6733408;-74.1437848
restaurant;'Localidad Fontibón';9;4.6716825;-74.1449554
restaurant;'Localidad Fontibón';9;4.6738566;-74.1434205
restaurant;'Localidad Fontibón';9;4.6730956;-74.139145
restaurant;'Localidad Fontibón';9;4.6705603;-74.138436
restaurant;'Localidad Fontibón';9;4.6765065;-74.1467985
restaurant;'Localidad Fontibón';9;4.6808902;-74.1344309
restaurant;'Localidad Fontibón';9;4.6940445;-74.1689996
restaurant;'Localidad Fontibón';9;4.6935266;-74.1608451
restaurant;'Localidad Fontibón';9;4.6878485;-74.1566904
restaurant;'Localidad Fontibón';9;4.6866324;-74.156145
restaurant;'Localidad Fontibón';9;4.6866692;-74.1560946
restaurant;'Localidad Fontibón';9;4.6940462;-74.1601331
restaurant;'Localidad Fontibón';9;4.6956371;-74.1579639
restaurant;'Localidad Fontibón';9;4.6964829;-74.1537175
restaurant;'Localidad Fontibón';9;4.6979362;-74.1423444
restaurant;'Localidad Fontibón';9;4.6408743;-74.1212442
restaurant;'Localidad Fontibón';9;4.6431248;-74.1224061
restaurant;'Localidad Fontibón';9;4.6427048;-74.1132913
restaurant;'Localidad Fontibón';9;4.6521567;-74.1256668
restaurant;'Localidad Fontibón';9;4.6434241;-74.1124416
restaurant;'Localidad Fontibón';9;4.6527971;-74.1150851
restaurant;'Localidad Fontibón';9;4.6544749;-74.1096073
restaurant;'Localidad Fontibón';9;4.6539268;-74.109321
restaurant;'Localidad Fontibón';9;4.6538554;-74.1100311
restaurant;'Localidad Fontibón';9;4.6542503;-74.1094899
restaurant;'Localidad Fontibón';9;4.6530779;-74.1112468
restaurant;'Localidad Fontibón';9;4.656073;-74.1063296
restaurant;'Localidad Fontibón';9;4.6554021;-74.106228
restaurant;'Localidad Fontibón';9;4.6555645;-74.1062988
restaurant;'Localidad Fontibón';9;4.6509706;-74.1064256
restaurant;'Localidad Fontibón';9;4.6643555;-74.1283265
restaurant;'Localidad Fontibón';9;4.6643247;-74.1283594
restaurant;'Localidad Fontibón';9;4.6629231;-74.1272232
restaurant;'Localidad Fontibón';9;4.6647533;-74.1276193
restaurant;'Localidad Fontibón';9;4.666568;-74.1255826
restaurant;'Localidad Fontibón';9;4.6634622;-74.1226076
restaurant;'Localidad Fontibón';9;4.6635241;-74.1225212
restaurant;'Localidad Fontibón';9;4.6636884;-74.1223388
restaurant;'Localidad Fontibón';9;4.6682213;-74.1215146
restaurant;'Localidad Fontibón';9;4.6688454;-74.1232848
restaurant;'Localidad Fontibón';9;4.6686269;-74.1235294
restaurant;'Localidad Fontibón';9;4.6641102;-74.1222247
restaurant;'Localidad Fontibón';9;4.664452;-74.1217951
restaurant;'Localidad Fontibón';9;4.6649034;-74.1213867
restaurant;'Localidad Fontibón';9;4.6638204;-74.1225244
restaurant;'Localidad Fontibón';9;4.6686764;-74.1232689
restaurant;'Localidad Fontibón';9;4.6656836;-74.1265925
restaurant;'Localidad Fontibón';9;4.6591725;-74.1082137
restaurant;'Localidad Fontibón';9;4.66002;-74.1086288
restaurant;'Localidad Fontibón';9;4.6616688;-74.1096879
restaurant;'Localidad Fontibón';9;4.6590835;-74.1083153
restaurant;'Localidad Fontibón';9;4.6585703;-74.1082215
restaurant;'Localidad Fontibón';9;4.6686867;-74.1194019
restaurant;'Localidad Fontibón';9;4.6680782;-74.1176695
restaurant;'Localidad Fontibón';9;4.6685327;-74.1169448
restaurant;'Localidad Fontibón';9;4.6675825;-74.1184235
restaurant;'Localidad Fontibón';9;4.6686582;-74.1170232
restaurant;'Localidad Fontibón';9;4.6638573;-74.1176054
restaurant;'Localidad Fontibón';9;4.6682137;-74.119419
restaurant;'Localidad Fontibón';9;4.6682468;-74.1195514
restaurant;'Localidad Fontibón';9;4.666664;-74.1187077
restaurant;'Localidad Fontibón';9;4.667336;-74.1182534
restaurant;'Localidad Fontibón';9;4.665316;-74.1189178
restaurant;'Localidad Fontibón';9;4.6672245;-74.118389
restaurant;'Localidad Fontibón';9;4.6672394;-74.1184583
restaurant;'Localidad Fontibón';9;4.6637918;-74.1180454
restaurant;'Localidad Fontibón';9;4.6636897;-74.1179511
restaurant;'Localidad Fontibón';9;4.6667114;-74.119308
restaurant;'Localidad Fontibón';9;4.6655414;-74.1206379
restaurant;'Localidad Fontibón';9;4.666354;-74.1203142
restaurant;'Localidad Fontibón';9;4.6746833;-74.1223887
restaurant;'Localidad Fontibón';9;4.675622;-74.1215713
restaurant;'Localidad Fontibón';9;4.6729515;-74.1214901
restaurant;'Localidad Fontibón';9;4.6742217;-74.1215248
restaurant;'Localidad Fontibón';9;4.6749939;-74.1205256
restaurant;'Localidad Fontibón';9;4.6749496;-74.120611
restaurant;'Localidad Fontibón';9;4.6749235;-74.1206445
restaurant;'Localidad Fontibón';9;4.6563708;-74.1067933
restaurant;'Localidad Fontibón';9;4.6858637;-74.1296871
