Amenity;Localidad;Objectid;lat;lon
restaurant;'Localidad Los Mártires';14;4.6013807;-74.0865042
restaurant;'Localidad Los Mártires';14;4.6003809;-74.0965184
restaurant;'Localidad Los Mártires';14;4.5992446;-74.1050157
restaurant;'Localidad Los Mártires';14;4.6041737;-74.0954553
restaurant;'Localidad Los Mártires';14;4.6096607;-74.0920734
restaurant;'Localidad Los Mártires';14;4.6191453;-74.0847622
restaurant;'Localidad Los Mártires';14;4.6190704;-74.0844511
restaurant;'Localidad Los Mártires';14;4.6165744;-74.0881833
restaurant;'Localidad Los Mártires';14;4.6160076;-74.0882208
restaurant;'Localidad Los Mártires';14;4.6161627;-74.0887841
restaurant;'Localidad Los Mártires';14;4.6160237;-74.0888377
restaurant;'Localidad Los Mártires';14;4.6159167;-74.0887251
restaurant;'Localidad Los Mártires';14;4.613767;-74.0909627
restaurant;'Localidad Los Mártires';14;4.6122591;-74.0892488
restaurant;'Localidad Los Mártires';14;4.6124543;-74.0886721
restaurant;'Localidad Los Mártires';14;4.6127778;-74.0884253
restaurant;'Localidad Los Mártires';14;4.6120149;-74.0751642
restaurant;'Localidad Los Mártires';14;4.6133961;-74.0759832
restaurant;'Localidad Los Mártires';14;4.6134572;-74.075894
restaurant;'Localidad Los Mártires';14;4.6119363;-74.075283
restaurant;'Localidad Los Mártires';14;4.6120982;-74.0754673
restaurant;'Localidad Los Mártires';14;4.6144852;-74.0758966
restaurant;'Localidad Los Mártires';14;4.6157855;-74.0767739
restaurant;'Localidad Los Mártires';14;4.6161214;-74.0769467
restaurant;'Localidad Los Mártires';14;4.5988969;-74.0940029
restaurant;'Localidad Los Mártires';14;4.5998719;-74.0989535
restaurant;'Localidad Los Mártires';14;4.5984937;-74.0951539
restaurant;'Localidad Los Mártires';14;4.5986223;-74.1009028
restaurant;'Localidad Los Mártires';14;4.5974662;-74.1010803
restaurant;'Localidad Los Mártires';14;4.5974641;-74.0922849
restaurant;'Localidad Los Mártires';14;4.5941697;-74.0955917
restaurant;'Localidad Los Mártires';14;4.61215;-74.076932
restaurant;'Localidad Los Mártires';14;4.6039836;-74.0798579
restaurant;'Localidad Los Mártires';14;4.6099009;-74.0865563
restaurant;'Localidad Los Mártires';14;4.6111195;-74.0856362
restaurant;'Localidad Los Mártires';14;4.6113324;-74.0854542
restaurant;'Localidad Los Mártires';14;4.6015098;-74.0867535
restaurant;'Localidad Los Mártires';14;4.5983744;-74.088614
restaurant;'Localidad Los Mártires';14;4.6182744;-74.0783676
restaurant;'Localidad Los Mártires';14;4.6132088;-74.0750741
restaurant;'Localidad Los Mártires';14;4.6041028;-74.0806958
restaurant;'Localidad Los Mártires';14;4.6016719;-74.0864392
restaurant;'Localidad Los Mártires';14;4.6004596;-74.0846862
restaurant;'Localidad Los Mártires';14;4.6006075;-74.085338
restaurant;'Localidad Los Mártires';14;4.5987173;-74.0950974
restaurant;'Localidad Los Mártires';14;4.6039755;-74.0899334
restaurant;'Localidad Los Mártires';14;4.6039373;-74.0898879
restaurant;'Localidad Los Mártires';14;4.6221416;-74.0798444
restaurant;'Localidad Los Mártires';14;4.6025791;-74.0858984
restaurant;'Localidad Los Mártires';14;4.6032474;-74.0876873
restaurant;'Localidad Los Mártires';14;4.6033308;-74.087822
restaurant;'Localidad Los Mártires';14;4.6059433;-74.0908912
restaurant;'Localidad Los Mártires';14;4.606592;-74.0900929
restaurant;'Localidad Los Mártires';14;4.6044549;-74.089672
restaurant;'Localidad Los Mártires';14;4.5964152;-74.0922344
restaurant;'Localidad Los Mártires';14;4.6029979;-74.0875866
restaurant;'Localidad Los Mártires';14;4.6062827;-74.089275
restaurant;'Localidad Los Mártires';14;4.6048119;-74.0873518
restaurant;'Localidad Los Mártires';14;4.6032997;-74.0884204
restaurant;'Localidad Los Mártires';14;4.6015157;-74.0896791
restaurant;'Localidad Los Mártires';14;4.6014601;-74.0897179
restaurant;'Localidad Los Mártires';14;4.598816;-74.0856755
restaurant;'Localidad Los Mártires';14;4.5934768;-74.0904711
restaurant;'Localidad Los Mártires';14;4.5953464;-74.0913749
restaurant;'Localidad Los Mártires';14;4.5970544;-74.0858466
restaurant;'Localidad Los Mártires';14;4.5981859;-74.1005569
restaurant;'Localidad Los Mártires';14;4.5981245;-74.1006063
restaurant;'Localidad Los Mártires';14;4.5975035;-74.1007718
restaurant;'Localidad Los Mártires';14;4.6210199;-74.0822612
restaurant;'Localidad Los Mártires';14;4.5941697;-74.0955917
