college;Localidad;Nom_localidad;university;kindergarten;school
6;1;'Localidad Usaquén';3;5;14
5;2;'Localidad Chapinero';11;1;16
0;3;'Localidad Santa Fé';8;2;5
3;4;'Localidad San Cristóbal';0;1;11
1;5;'Localidad Usme';0;1;5
0;6;'Localidad Tunjuelito';0;2;6
1;7;'Localidad Bosa';0;3;8
0;8;'Localidad Kennedy';0;5;18
0;9;'Localidad Fontibón';0;2;19
4;10;'Localidad Engativá';2;6;48
6;11;'Localidad Suba';1;26;49
0;12;'Localidad Barrios Unidos';5;2;15
7;13;'Localidad Teusaquillo';8;8;15
1;14;'Localidad Los Mártires';0;0;6
0;15;'Localidad Antonio Nariño';0;1;2
0;16;'Localidad Puente Aranda';1;11;20
1;17;'Localidad La Candelaria';1;0;3
1;18;'Localidad Rafael Uribe Uribe';0;3;9
1;19;'Localidad Ciudad Bolivar';0;4;9
