Amenity;Localidad;Objectid;lat;lon
restaurant;'Localidad Ciudad Bolivar';19;4.5962683;-74.1832892
restaurant;'Localidad Ciudad Bolivar';19;4.5760874;-74.1507243
restaurant;'Localidad Ciudad Bolivar';19;4.5731355;-74.1504903
restaurant;'Localidad Ciudad Bolivar';19;4.5468952;-74.1394966
restaurant;'Localidad Ciudad Bolivar';19;4.5480678;-74.1396419
restaurant;'Localidad Ciudad Bolivar';19;4.5526354;-74.138938
restaurant;'Localidad Ciudad Bolivar';19;4.552606;-74.1401198
restaurant;'Localidad Ciudad Bolivar';19;4.5508779;-74.1399566
restaurant;'Localidad Ciudad Bolivar';19;4.5516794;-74.1394656
restaurant;'Localidad Ciudad Bolivar';19;4.5552734;-74.1357411
restaurant;'Localidad Ciudad Bolivar';19;4.5466667;-74.1391077
restaurant;'Localidad Ciudad Bolivar';19;4.5615338;-74.1456047
restaurant;'Localidad Ciudad Bolivar';19;4.5616615;-74.1464813
restaurant;'Localidad Ciudad Bolivar';19;4.5726632;-74.1710279
restaurant;'Localidad Ciudad Bolivar';19;4.5388968;-74.1348527
restaurant;'Localidad Ciudad Bolivar';19;4.5389338;-74.1349589
restaurant;'Localidad Ciudad Bolivar';19;4.5394031;-74.1354243
restaurant;'Localidad Ciudad Bolivar';19;4.5789295;-74.1665732
restaurant;'Localidad Ciudad Bolivar';19;4.577405;-74.1571559
restaurant;'Localidad Ciudad Bolivar';19;4.5756662;-74.1715046
restaurant;'Localidad Ciudad Bolivar';19;4.5758769;-74.172396
restaurant;'Localidad Ciudad Bolivar';19;4.5789252;-74.1784948
restaurant;'Localidad Ciudad Bolivar';19;4.5790714;-74.1789362
restaurant;'Localidad Ciudad Bolivar';19;4.5738137;-74.1747928
restaurant;'Localidad Ciudad Bolivar';19;4.5727658;-74.1689101
restaurant;'Localidad Ciudad Bolivar';19;4.5734994;-74.171864
restaurant;'Localidad Ciudad Bolivar';19;4.5727644;-74.167085
restaurant;'Localidad Ciudad Bolivar';19;4.575784;-74.171807
restaurant;'Localidad Ciudad Bolivar';19;4.5728282;-74.1685833
restaurant;'Localidad Ciudad Bolivar';19;4.5725056;-74.1679069
restaurant;'Localidad Ciudad Bolivar';19;4.4857214;-74.1417025
restaurant;'Localidad Ciudad Bolivar';19;4.5986384;-74.1527794
restaurant;'Localidad Ciudad Bolivar';19;4.4857214;-74.1417025
restaurant;'Localidad Ciudad Bolivar';19;4.5388968;-74.1348527
restaurant;'Localidad Ciudad Bolivar';19;4.5389338;-74.1349589
restaurant;'Localidad Ciudad Bolivar';19;4.5394031;-74.1354243
restaurant;'Localidad Ciudad Bolivar';19;4.5468952;-74.1394966
restaurant;'Localidad Ciudad Bolivar';19;4.5480678;-74.1396419
restaurant;'Localidad Ciudad Bolivar';19;4.5508779;-74.1399566
restaurant;'Localidad Ciudad Bolivar';19;4.5466667;-74.1391077
restaurant;'Localidad Ciudad Bolivar';19;4.5738137;-74.1747928
restaurant;'Localidad Ciudad Bolivar';19;4.5726632;-74.1710279
restaurant;'Localidad Ciudad Bolivar';19;4.5756662;-74.1715046
restaurant;'Localidad Ciudad Bolivar';19;4.5758769;-74.172396
restaurant;'Localidad Ciudad Bolivar';19;4.5727658;-74.1689101
restaurant;'Localidad Ciudad Bolivar';19;4.5734994;-74.171864
restaurant;'Localidad Ciudad Bolivar';19;4.575784;-74.171807
restaurant;'Localidad Ciudad Bolivar';19;4.5728282;-74.1685833
restaurant;'Localidad Ciudad Bolivar';19;4.5725056;-74.1679069
restaurant;'Localidad Ciudad Bolivar';19;4.5727644;-74.167085
restaurant;'Localidad Ciudad Bolivar';19;4.5526354;-74.138938
restaurant;'Localidad Ciudad Bolivar';19;4.552606;-74.1401198
restaurant;'Localidad Ciudad Bolivar';19;4.5516794;-74.1394656
restaurant;'Localidad Ciudad Bolivar';19;4.5552734;-74.1357411
restaurant;'Localidad Ciudad Bolivar';19;4.5615338;-74.1456047
restaurant;'Localidad Ciudad Bolivar';19;4.5616615;-74.1464813
restaurant;'Localidad Ciudad Bolivar';19;4.577405;-74.1571559
restaurant;'Localidad Ciudad Bolivar';19;4.5760874;-74.1507243
restaurant;'Localidad Ciudad Bolivar';19;4.5731355;-74.1504903
restaurant;'Localidad Ciudad Bolivar';19;4.5789252;-74.1784948
restaurant;'Localidad Ciudad Bolivar';19;4.5790714;-74.1789362
restaurant;'Localidad Ciudad Bolivar';19;4.5789295;-74.1665732
restaurant;'Localidad Ciudad Bolivar';19;4.5962683;-74.1832892
restaurant;'Localidad Ciudad Bolivar';19;4.5986384;-74.1527794
