Amenity;Localidad;Objectid;lat;lon
restaurant;'Localidad Rafael Uribe Uribe';18;4.5827094;-74.1089372
restaurant;'Localidad Rafael Uribe Uribe';18;4.5590112;-74.1214162
restaurant;'Localidad Rafael Uribe Uribe';18;4.5580163;-74.1202922
restaurant;'Localidad Rafael Uribe Uribe';18;4.5827727;-74.1284021
restaurant;'Localidad Rafael Uribe Uribe';18;4.5826753;-74.1289395
restaurant;'Localidad Rafael Uribe Uribe';18;4.5828149;-74.1282344
restaurant;'Localidad Rafael Uribe Uribe';18;4.5828295;-74.1281693
restaurant;'Localidad Rafael Uribe Uribe';18;4.582052;-74.128604
restaurant;'Localidad Rafael Uribe Uribe';18;4.5823004;-74.1290453
restaurant;'Localidad Rafael Uribe Uribe';18;4.582341;-74.1291251
restaurant;'Localidad Rafael Uribe Uribe';18;4.5710407;-74.0991846
restaurant;'Localidad Rafael Uribe Uribe';18;4.5706267;-74.0995248
restaurant;'Localidad Rafael Uribe Uribe';18;4.5704417;-74.0997236
restaurant;'Localidad Rafael Uribe Uribe';18;4.5696005;-74.1004305
restaurant;'Localidad Rafael Uribe Uribe';18;4.5693979;-74.1005895
restaurant;'Localidad Rafael Uribe Uribe';18;4.5692834;-74.1006426
restaurant;'Localidad Rafael Uribe Uribe';18;4.5589588;-74.1215783
restaurant;'Localidad Rafael Uribe Uribe';18;4.5587297;-74.121775
restaurant;'Localidad Rafael Uribe Uribe';18;4.5797037;-74.1259107
restaurant;'Localidad Rafael Uribe Uribe';18;4.5808287;-74.1273767
restaurant;'Localidad Rafael Uribe Uribe';18;4.5833744;-74.1254159
restaurant;'Localidad Rafael Uribe Uribe';18;4.5832315;-74.1255175
restaurant;'Localidad Rafael Uribe Uribe';18;4.5829313;-74.1265671
restaurant;'Localidad Rafael Uribe Uribe';18;4.5740489;-74.1002785
restaurant;'Localidad Rafael Uribe Uribe';18;4.5760598;-74.1028401
restaurant;'Localidad Rafael Uribe Uribe';18;4.57647;-74.103372
restaurant;'Localidad Rafael Uribe Uribe';18;4.5772432;-74.1043723
restaurant;'Localidad Rafael Uribe Uribe';18;4.5780167;-74.1053338
restaurant;'Localidad Rafael Uribe Uribe';18;4.5782681;-74.1056581
restaurant;'Localidad Rafael Uribe Uribe';18;4.5783592;-74.1057949
restaurant;'Localidad Rafael Uribe Uribe';18;4.5780832;-74.1058705
restaurant;'Localidad Rafael Uribe Uribe';18;4.5739419;-74.1006041
restaurant;'Localidad Rafael Uribe Uribe';18;4.5865967;-74.1286473
