Amenity;Localidad;Objectid;lat;lon
restaurant;'Localidad San Cristóbal';4;4.5809749;-74.0880914
restaurant;'Localidad San Cristóbal';4;4.5515702;-74.0919623
restaurant;'Localidad San Cristóbal';4;4.5644294;-74.0906032
restaurant;'Localidad San Cristóbal';4;4.5811097;-74.0879642
restaurant;'Localidad San Cristóbal';4;4.5811149;-74.087826
restaurant;'Localidad San Cristóbal';4;4.5647239;-74.0839809
restaurant;'Localidad San Cristóbal';4;4.5646748;-74.0839624
restaurant;'Localidad San Cristóbal';4;4.570521;-74.0991316
restaurant;'Localidad San Cristóbal';4;4.5835934;-74.0868192
restaurant;'Localidad San Cristóbal';4;4.5860194;-74.0847137
restaurant;'Localidad San Cristóbal';4;4.5785632;-74.0861746
restaurant;'Localidad San Cristóbal';4;4.5763992;-74.0836349
restaurant;'Localidad San Cristóbal';4;4.5745345;-74.0929163
restaurant;'Localidad San Cristóbal';4;4.5757231;-74.0891904
restaurant;'Localidad San Cristóbal';4;4.5713092;-74.0960074
restaurant;'Localidad San Cristóbal';4;4.5720219;-74.0953667
restaurant;'Localidad San Cristóbal';4;4.5717712;-74.0955859
restaurant;'Localidad San Cristóbal';4;4.5762391;-74.0893387
restaurant;'Localidad San Cristóbal';4;4.5762954;-74.089428
restaurant;'Localidad San Cristóbal';4;4.5813296;-74.0874489
restaurant;'Localidad San Cristóbal';4;4.5812842;-74.0874944
restaurant;'Localidad San Cristóbal';4;4.5808829;-74.0879182
restaurant;'Localidad San Cristóbal';4;4.5721538;-74.0949674
restaurant;'Localidad San Cristóbal';4;4.5711884;-74.0971022
restaurant;'Localidad San Cristóbal';4;4.5810593;-74.0880291
restaurant;'Localidad San Cristóbal';4;4.5491383;-74.0926524
restaurant;'Localidad San Cristóbal';4;4.5378499;-74.0912024
restaurant;'Localidad San Cristóbal';4;4.5683795;-74.096582
restaurant;'Localidad San Cristóbal';4;4.5417347;-74.0872527
restaurant;'Localidad San Cristóbal';4;4.5701106;-74.0995151
restaurant;'Localidad San Cristóbal';4;4.5677286;-74.0977613
restaurant;'Localidad San Cristóbal';4;4.5677652;-74.0979282
restaurant;'Localidad San Cristóbal';4;4.5676294;-74.0980801
restaurant;'Localidad San Cristóbal';4;4.566442;-74.1018692
restaurant;'Localidad San Cristóbal';4;4.5663368;-74.1020034
restaurant;'Localidad San Cristóbal';4;4.5653135;-74.1019833
restaurant;'Localidad San Cristóbal';4;4.5668373;-74.1016156
restaurant;'Localidad San Cristóbal';4;4.5652843;-74.1020315
restaurant;'Localidad San Cristóbal';4;4.565501;-74.1016063
restaurant;'Localidad San Cristóbal';4;4.5651627;-74.1009444
restaurant;'Localidad San Cristóbal';4;4.5327104;-74.0870961
restaurant;'Localidad San Cristóbal';4;4.5555086;-74.0977307
restaurant;'Localidad San Cristóbal';4;4.5651729;-74.1018351
restaurant;'Localidad San Cristóbal';4;4.5645636;-74.1014111
restaurant;'Localidad San Cristóbal';4;4.5465682;-74.0937974
restaurant;'Localidad San Cristóbal';4;4.5808672;-74.0822678
restaurant;'Localidad San Cristóbal';4;4.5835556;-74.0828133
restaurant;'Localidad San Cristóbal';4;4.5860404;-74.0819129
restaurant;'Localidad San Cristóbal';4;4.5826422;-74.084357
restaurant;'Localidad San Cristóbal';4;4.5795164;-74.0869828
restaurant;'Localidad San Cristóbal';4;4.5791755;-74.0867918
restaurant;'Localidad San Cristóbal';4;4.5779224;-74.09184
restaurant;'Localidad San Cristóbal';4;4.5778069;-74.092216
restaurant;'Localidad San Cristóbal';4;4.5714351;-74.0798524
restaurant;'Localidad San Cristóbal';4;4.5413728;-74.0873846
restaurant;'Localidad San Cristóbal';4;4.5378499;-74.0912024
restaurant;'Localidad San Cristóbal';4;4.5327104;-74.0870961
restaurant;'Localidad San Cristóbal';4;4.5417347;-74.0872527
restaurant;'Localidad San Cristóbal';4;4.5413728;-74.0873846
restaurant;'Localidad San Cristóbal';4;4.5491383;-74.0926524
restaurant;'Localidad San Cristóbal';4;4.5465682;-74.0937974
restaurant;'Localidad San Cristóbal';4;4.5555086;-74.0977307
restaurant;'Localidad San Cristóbal';4;4.5645636;-74.1014111
restaurant;'Localidad San Cristóbal';4;4.5515702;-74.0919623
restaurant;'Localidad San Cristóbal';4;4.5644294;-74.0906032
restaurant;'Localidad San Cristóbal';4;4.566442;-74.1018692
restaurant;'Localidad San Cristóbal';4;4.5663368;-74.1020034
restaurant;'Localidad San Cristóbal';4;4.5653135;-74.1019833
restaurant;'Localidad San Cristóbal';4;4.5668373;-74.1016156
restaurant;'Localidad San Cristóbal';4;4.5652843;-74.1020315
restaurant;'Localidad San Cristóbal';4;4.565501;-74.1016063
restaurant;'Localidad San Cristóbal';4;4.5651729;-74.1018351
restaurant;'Localidad San Cristóbal';4;4.570521;-74.0991316
restaurant;'Localidad San Cristóbal';4;4.5683795;-74.096582
restaurant;'Localidad San Cristóbal';4;4.5701106;-74.0995151
restaurant;'Localidad San Cristóbal';4;4.5677286;-74.0977613
restaurant;'Localidad San Cristóbal';4;4.5677652;-74.0979282
restaurant;'Localidad San Cristóbal';4;4.5676294;-74.0980801
restaurant;'Localidad San Cristóbal';4;4.5651627;-74.1009444
restaurant;'Localidad San Cristóbal';4;4.5713092;-74.0960074
restaurant;'Localidad San Cristóbal';4;4.5720219;-74.0953667
restaurant;'Localidad San Cristóbal';4;4.5717712;-74.0955859
restaurant;'Localidad San Cristóbal';4;4.5711884;-74.0971022
restaurant;'Localidad San Cristóbal';4;4.5647239;-74.0839809
restaurant;'Localidad San Cristóbal';4;4.5646748;-74.0839624
restaurant;'Localidad San Cristóbal';4;4.5745345;-74.0929163
restaurant;'Localidad San Cristóbal';4;4.5757231;-74.0891904
restaurant;'Localidad San Cristóbal';4;4.5762391;-74.0893387
restaurant;'Localidad San Cristóbal';4;4.5762954;-74.089428
restaurant;'Localidad San Cristóbal';4;4.5721538;-74.0949674
restaurant;'Localidad San Cristóbal';4;4.5763992;-74.0836349
restaurant;'Localidad San Cristóbal';4;4.5714351;-74.0798524
restaurant;'Localidad San Cristóbal';4;4.5779224;-74.09184
restaurant;'Localidad San Cristóbal';4;4.5778069;-74.092216
restaurant;'Localidad San Cristóbal';4;4.5809749;-74.0880914
restaurant;'Localidad San Cristóbal';4;4.5811097;-74.0879642
restaurant;'Localidad San Cristóbal';4;4.5811149;-74.087826
restaurant;'Localidad San Cristóbal';4;4.5835934;-74.0868192
restaurant;'Localidad San Cristóbal';4;4.5785632;-74.0861746
restaurant;'Localidad San Cristóbal';4;4.5813296;-74.0874489
restaurant;'Localidad San Cristóbal';4;4.5812842;-74.0874944
restaurant;'Localidad San Cristóbal';4;4.5808829;-74.0879182
restaurant;'Localidad San Cristóbal';4;4.5810593;-74.0880291
restaurant;'Localidad San Cristóbal';4;4.5808672;-74.0822678
restaurant;'Localidad San Cristóbal';4;4.5835556;-74.0828133
restaurant;'Localidad San Cristóbal';4;4.5826422;-74.084357
restaurant;'Localidad San Cristóbal';4;4.5795164;-74.0869828
restaurant;'Localidad San Cristóbal';4;4.5791755;-74.0867918
restaurant;'Localidad San Cristóbal';4;4.5860194;-74.0847137
restaurant;'Localidad San Cristóbal';4;4.5860404;-74.0819129
