Amenity;Localidad;Objectid;lat;lon
restaurant;'Localidad Tunjuelito';6;4.5616195;-74.1270269
restaurant;'Localidad Tunjuelito';6;4.5640717;-74.1290253
restaurant;'Localidad Tunjuelito';6;4.5634942;-74.1279309
restaurant;'Localidad Tunjuelito';6;4.5907891;-74.1385075
restaurant;'Localidad Tunjuelito';6;4.5946577;-74.1386751
restaurant;'Localidad Tunjuelito';6;4.5942644;-74.1380943
restaurant;'Localidad Tunjuelito';6;4.5938021;-74.138205
restaurant;'Localidad Tunjuelito';6;4.5935131;-74.1382735
restaurant;'Localidad Tunjuelito';6;4.5930797;-74.1385815
restaurant;'Localidad Tunjuelito';6;4.5926946;-74.1390732
restaurant;'Localidad Tunjuelito';6;4.593349;-74.1392808
restaurant;'Localidad Tunjuelito';6;4.5819676;-74.1305387
restaurant;'Localidad Tunjuelito';6;4.5848843;-74.1363
restaurant;'Localidad Tunjuelito';6;4.5827901;-74.1381718
restaurant;'Localidad Tunjuelito';6;4.5654861;-74.1283442
restaurant;'Localidad Tunjuelito';6;4.5911267;-74.1418875
restaurant;'Localidad Tunjuelito';6;4.5912447;-74.1418513
restaurant;'Localidad Tunjuelito';6;4.5864546;-74.1381173
restaurant;'Localidad Tunjuelito';6;4.5854661;-74.1415807
restaurant;'Localidad Tunjuelito';6;4.5868808;-74.1372924
restaurant;'Localidad Tunjuelito';6;4.5870955;-74.1368909
restaurant;'Localidad Tunjuelito';6;4.5837257;-74.1383253
restaurant;'Localidad Tunjuelito';6;4.5827901;-74.1381718
restaurant;'Localidad Tunjuelito';6;4.5837257;-74.1383253
restaurant;'Localidad Tunjuelito';6;4.5854661;-74.1415807
restaurant;'Localidad Tunjuelito';6;4.5907891;-74.1385075
restaurant;'Localidad Tunjuelito';6;4.5848843;-74.1363
restaurant;'Localidad Tunjuelito';6;4.5864546;-74.1381173
restaurant;'Localidad Tunjuelito';6;4.5868808;-74.1372924
restaurant;'Localidad Tunjuelito';6;4.5870955;-74.1368909
restaurant;'Localidad Tunjuelito';6;4.5911267;-74.1418875
restaurant;'Localidad Tunjuelito';6;4.5912447;-74.1418513
restaurant;'Localidad Tunjuelito';6;4.5946577;-74.1386751
restaurant;'Localidad Tunjuelito';6;4.5942644;-74.1380943
restaurant;'Localidad Tunjuelito';6;4.5938021;-74.138205
restaurant;'Localidad Tunjuelito';6;4.5935131;-74.1382735
restaurant;'Localidad Tunjuelito';6;4.5930797;-74.1385815
restaurant;'Localidad Tunjuelito';6;4.5926946;-74.1390732
restaurant;'Localidad Tunjuelito';6;4.593349;-74.1392808
restaurant;'Localidad Tunjuelito';6;4.5640717;-74.1290253
restaurant;'Localidad Tunjuelito';6;4.5634942;-74.1279309
restaurant;'Localidad Tunjuelito';6;4.5616195;-74.1270269
restaurant;'Localidad Tunjuelito';6;4.5654861;-74.1283442
restaurant;'Localidad Tunjuelito';6;4.5819676;-74.1305387
