cinema;Localidad;Nom_localidad;community_centre;love_hotel;nightclub;theatre
5;1;'Localidad Usaquén';1;0;3;2
6;2;'Localidad Chapinero';4;0;8;7
3;3;'Localidad Santa Fé';3;0;6;3
0;4;'Localidad San Cristóbal';5;0;0;1
0;5;'Localidad Usme';0;0;0;0
0;6;'Localidad Tunjuelito';1;1;4;0
2;7;'Localidad Bosa';2;0;0;0
2;8;'Localidad Kennedy';7;2;1;0
2;9;'Localidad Fontibón';3;0;2;0
3;10;'Localidad Engativá';13;0;10;1
7;11;'Localidad Suba';3;0;2;0
4;12;'Localidad Barrios Unidos';0;0;2;0
2;13;'Localidad Teusaquillo';6;0;5;7
0;14;'Localidad Los Mártires';2;0;5;0
0;15;'Localidad Antonio Nariño';0;17;0;1
0;16;'Localidad Puente Aranda';2;0;0;0
0;17;'Localidad La Candelaria';0;0;1;9
0;18;'Localidad Rafael Uribe Uribe';5;0;0;0
0;19;'Localidad Ciudad Bolivar';4;0;1;0
